,movie_title,sentiment,tomatometer_rating
613,My One and Only,positive,7
614,The Horse Boy,positive,8
615,Passing Strange,positive,10
616,A Single Man,positive,9
617,The Bounty Hunter,positive,2
618,Alice in Wonderland,positive,6
619,127 Hours,positive,10
620,Twelve Monkeys ,positive,9
621,12 O'clock Boys,positive,10
622,12 Rounds,positive,4
623,12 Strong,positive,6
624,12 Years a Slave,positive,10
625,13 Assassins,positive,10
626,13 Going on 30,positive,7
627,The 13th Warrior,positive,4
628,1492: Conquest of Paradise,positive,4
629,15 Minutes,positive,4
630,16 Blocks,positive,6
631,1917,positive,9
632,1922,positive,10
633,1984,positive,8
634,1985,positive,10
635,1BR,positive,9
636,"20,000 Days on Earth",positive,10
637,2001: A Space Odyssey,positive,10
638,2010,positive,7
639,2012,positive,4
640,20 Feet From Stardom,positive,10
641,21 And Over,positive,3
642,21 Grams,positive,9
643,21 Jump Street,positive,9
644,22 Jump Street,positive,9
645,24 City ,positive,10
646,24 Hour Party People,positive,9
647,25th Hour,positive,8
648,27 Dresses,positive,5
649,28 Weeks Later...,positive,8
650,2 Days in New York,positive,7
651,2 Days in Paris,positive,9
652,2 Days in the Valley,positive,6
653,2 Fast 2 Furious,positive,4
654,300,positive,7
655,300: Rise of an Empire,positive,5
656,31,positive,5
657,3:10 to Yuma,positive,9
658,37 Seconds,positive,9
659,3 Days To Kill,positive,3
660,3 Ninjas,positive,4
661,The 400 Blows ,positive,10
662,The 40 Year Old Virgin,positive,9
663,42,positive,9
664,42nd Street,positive,10
665,44 Inch Chest,positive,5
666,45 Years,positive,10
667,47 Ronin,positive,2
668,48 HRS,positive,10
669,4 ,positive,8
670,"4 Months, 3 Weeks and 2 Days",positive,10
671,500 Days of Summer,positive,9
672,50/50,positive,10
673,50 First Dates,positive,5
674,52 Tuesdays,positive,9
675,56 Up,positive,10
676,5 Flights Up,positive,5
677,5 to 7,positive,8
678,6 Balloons,positive,9
679,6 Souls,positive,1
680,'71,positive,10
681,78/52: Hitchcock's Shower Scene,positive,9
682,7 Days in Entebbe,positive,3
683,8 1/2,positive,10
684,8: The Mormon Proposition,positive,7
685,8 Mile,positive,8
